Star,Constellation,Right ascension,Declination,Apparent magnitude,Distance (ly),Spectral type,Mass (M☉),Temperature (K),Age (Gyr),Confirmed (unconfirmed) planets,Notes
Kepler-51,Cygnus,19h 45m 55.0s,+49° 56′ 16″,15.0,2610,G?V,1,5803,unknown,4,Super-puff planets with some of the lowest densities known.[139]
Kepler-403,Cygnus,19h 19m 41.1s,+46° 44′ 40″,,2741,F9IV-V,1.25,6090,unknown,3,
Kepler-9,Lyra,19h 02m 17.76s,+38° 24′ 03.2″,13.91,2754,G2V,0.998,5722,3.008,3,First multiplanetary system to be discovered by the Kepler Space Telescope.[140][141]
Kepler-23,Cygnus,19h 36m 52.0s,+49° 28′ 45″,14,2790,G5V,1.11,5760,unknown,3,-
Kepler-46,Cygnus,19h 17m 05.0s,+42° 36′ 15″,15.3,2795,K?V,0.902,5155,9.9,3,-
Kepler-305,Cygnus,19h 56m 53.83s,+40° 20′ 35.46″,15.812,2833,K,0.85,4918,unknown,3 (1),
Kepler-90,Draco,18h 57m 44.0s,+49° 18′ 19″,14.0,2840 ± 40,F9 IV/V,1.13,5930,2,8,All eight exoplanets are larger than Earth and are within 1.1 AU of the parent star. Only star apart from the Sun with at least eight planets.[142] A Hill stability test shows that the system is stable.[143] Planet h orbits in the habitable zone.
Kepler-150,Lyra,19h 12m 56.2s,+40° 31′ 15″,,2906,G?V,0.97,5560,unknown,5,Planet f orbits in the habitable zone.
Kepler-82,Cygnus,19h 31m 29.61s,+42° 57′ 58.09″,15.158,2949,G?V,0.91,5512,unknown,5,
Kepler-154,Cygnus,19h 19m 07.3s,+49° 53′ 48″,,2985,G3V,0.98,5690,unknown,5,
Kepler-56,Cygnus,19h 35m 02.0s,+41° 52′ 19″,13,3060,K?III,1.32,4840,3.5,3,
Kepler-350,Lyra,19h 01m 41.0s,+39° 42′ 22″,13.8,3121,F,1.03,6215,unknown,3,
Kepler-603,Cygnus,19h 37m 07.4s,+42° 17′ 27″,,3134,G2V,1.01,5808,unknown,3,-
Kepler-160,Lyra,19h 11m 05.65s,+42° 52′ 09.5″,13.101,3140,G2V,unknown,5470,unknown,3 (1),The unconfirmed planet Kepler-160e (or KOI-456.04) is a potentially habitable planet.[144]
Kepler-401,Cygnus,19h 20m 19.9s,+50° 51′ 49″,,3149,F8V,1.17,6117,unknown,3,
Kepler-58,Cygnus,19h 45m 26.0s,+39° 06′ 55″,15.3,3161,G1V,1.04,5843,unknown,3,
Kepler-79,Cygnus,20h 02m 04.11s,+44° 22′ 53.69″,13.914,3329,F,1.17,6187,unknown,4,
Kepler-60,Cygnus,19h 15m 50.70s,+42° 15′ 54.04″,13.959,3343,G,1.04,5915,unknown,3,
Kepler-122,,19h 24m 26.9s,+39° 56′ 57″,,3351,F,1.08,6050,unknown,5,
Kepler-279,Lyra,19h 09m 34.0s,+42° 11′ 42″,13.7,3383,F,1.1,6562,unknown,3,
Kepler-255,Cygnus,19h 44m 15.4s,+45° 58′ 37″,,3433,G6V,0.9,5573,unknown,3,
Kepler-47,Cygnus,19h 41m 11.5s,+46° 55′ 13.69″,15.178,3442,G M,1.043,5636(A) (B is unknown),4.5,3,"Circumbinary planets, with one of the planets orbiting in the habitable zone.[145][146][147]"
Kepler-292,,19h 43m 03.84s,+43° 25′ 27.4″,13.97,3446,K0V,0.85,5299,unknown,5,
Kepler-27,Cygnus,19h 28m 56.82s,+41° 05′ 9.15″,15.855,3500,G5V,0.65,5400,unknown,3,
Kepler-351,Lyra,19h 05m 48.6s,+42° 39′ 28″,,3535,G?V,0.89,5643,unknown,3,
Kepler-276,Cygnus,19h 34m 16s,+39° 02′ 11″,15.368,3734,G?V,1.1,5812,unknown,3,
Kepler-24,Lyra,19h 21m 39.18s,+38° 20′ 37.51″,14.925,3910,G1V,1.03,5800,unknown,4,-
Kepler-87,Cygnus,19h 51m 40.0s,+46° 57′ 54″,15,4021,G4IV,1.1,5600,7.5,2 (2),Farthest system from the Sun with an unconfirmed exoplanet candidate.
Kepler-33,Lyra,19h 16m 18.61s,+46° 00′ 18.8″,13.988,4090,G1IV,1.164,5849,4.27,5,
Kepler-282,Lyra,18h 58m 43.0s,+44° 47′ 51″,15.2,4363,G?V,0.97,5876,unknown,4,
Kepler-758,Cygnus,19h 32m 20.3s,+41° 08′ 08″,,4413,,1.16,6228,unknown,4,Farthest system from the Sun with exactly four confirmed exoplanets.
Kepler-53,Lyra,19h 21m 51.0s,+40° 33′ 45″,16,4455,G?V,0.98,5858,unknown,3,
Kepler-30,Lyra,19h 01m 08.07s,+38° 56′ 50.21″,15.403,4560,G6V,0.99,5498,unknown,3,
Kepler-84,Cygnus,19h 53m 00.49s,+40° 29′ 45.87″,14.764,4700,G3IV,1,5755,unknown,5,
Kepler-385,Cygnus,19h 37m 21.23s,+50° 20′ 11.55″,15.76,4900,F8V,0.99,5835,unknown,3 (4),
Kepler-31,Cygnus,19h 36m 06.0s,+45° 51′ 11″,15.5,5429,F,1.21,6340,unknown,3,The three planets are in an orbital resonance.[148]
Kepler-238,Lyra,19h 11m 35s,+40° 38′ 16″,15.084,5867,G5IV,1.06,5614,unknown,5,"One of the farthest systems from the Sun with a multiplanetary system, and the farthest system where exoplanets were discovered by the Kepler space telescope."
Kepler-245,Cygnus,19h 26m 33.4s,+42° 26′ 11″,,,,0.8,5100,unknown,4,
Kepler-218,Cygnus,19h 41m 39.1s,+46° 15′ 59″,,,,unknown,5502,unknown,3,
Kepler-217,Cygnus,19h 32m 09.1s,+46° 16′ 39″,,,,unknown,6171,unknown,3,
Kepler-192,Lyra,19h 11m 40.3s,+45° 35′ 34″,,,,unknown,5479,unknown,3,
Kepler-191,Cygnus,19h 24m 44.0s,+45° 19′ 23″,,,,0.85,5282,unknown,3,
Kepler-431,Lyra,18h 44m 26.9s,+43° 13′ 40″,,,,1.071,6004,unknown,3,
Kepler-338,Lyra,18h 51m 54.9s,+40° 47′ 04″,,,,1.1,5923,unknown,4,
Kepler-197,Cygnus,19h 40m 54.3s,+50° 33′ 32″,,,,unknown,6004,unknown,4,
Kepler-247,Lyra,19h 14m 34.2s,+43° 02′ 21″,,,,0.884,5094,unknown,3,
Kepler-104,Lyra,19h 10m 25.1s,+42° 10′ 00″,,,,0.81,5711,unknown,3,-
Kepler-126,Cygnus,19h 17m 23.4s,+44° 12′ 31″,,,,unknown,6239,unknown,3,-
Kepler-127,Lyra,19h 00m 45.6s,+46° 01′ 41″,,,,unknown,6106,unknown,3,-
Kepler-130,Lyra,19h 13m 48.2s,+40° 14′ 43″,,,,1,5884,unknown,3,-
Kepler-164,Lyra,19h 11m 07.4s,+47° 37′ 48″,,,,1.11,5888,unknown,3,-
Kepler-171,Cygnus,19h 47m 05.3s,+41° 45′ 20″,,,,unknown,5642,unknown,3,-
Kepler-172,Lyra,19h 47m 05.3s,+41° 45′ 20″,,,,0.86,5526,unknown,4,-
Kepler-149,Lyra,19h 03m 24.9s,+38° 23′ 03″,,,,unknown,5381,unknown,3,
Kepler-142,Cygnus,19h 40m 28.5s,+48° 28′ 53″,,,,0.99,5790,unknown,3,
Kepler-124,Draco,19h 07m 00.7s,+49° 03′ 54″,,,,unknown,4984,unknown,3,
Kepler-402,Lyra,19h 13m 28.9s,+43° 21′ 17″,,,,unknown,6090,unknown,4 (1),
Kepler-399,Cygnus,19h 58m 00.4s,+40° 40′ 15″,,,,unknown,5502,unknown,3,
Kepler-374,Cygnus,19h 36m 33.1s,+42° 22′ 14″,,,,0.84,5977,unknown,3,
Kepler-372,Cygnus,19h 25m 01.5s,+49° 15′ 32″,,,,1.15,6509,unknown,3,
Kepler-363,Lyra,18h 52m 46.1s,+41° 18′ 19″,,,,1.23,5593,unknown,3,
Kepler-359,Cygnus,19h 33m 10.5s,+42° 11′ 47″,,,,1.07,6248,unknown,3,
Kepler-357,Cygnus,19h 24m 58.3s,+44° 00′ 31″,,,,0.78,5036,unknown,3,
Kepler-354,Lyra,19h 03m 00.4s,+41° 20′ 08″,,,,0.65,4648,unknown,3,
Kepler-206,Lyra,19h 26m 32.3s,+41° 50′ 02″,,,,0.94,5764,unknown,3,
Kepler-203,Cygnus,19h 01m 23.3s,+41° 45′ 43″,,,,0.98,5821,unknown,3,
Kepler-194,Cygnus,19h 27m 53.1s,+47° 51′ 51″,,,,unknown,6089,unknown,3,
Kepler-184,Lyra,19h 27m 48.5s,+43° 04′ 29″,,,,unknown,5788,unknown,3,
Kepler-178,Lyra,19h 08m 24.3s,+46° 53′ 47″,,,,unknown,5676,unknown,3,
Kepler-336,Lyra,19h 20m 57.0s,+41° 19′ 53″,,,,0.89,5867,unknown,3,
Kepler-334,Lyra,19h 08m 33.8s,+47° 06′ 55″,,,,1,5828,unknown,3,
Kepler-332,Lyra,19h 06m 39.1s,+47° 24′ 49″,,,,0.8,4955,unknown,3,
Kepler-331,Lyra,19h 27m 20.2s,+39° 18′ 26″,,,,0.51,4347,unknown,3,
Kepler-327,Cygnus,19h 30m 34.2s,44° 05′ 16″,,,,0.55,3799,unknown,3,
Kepler-326,Cygnus,19h 37m 18.1s,+46° 00′ 08″,,,,0.98,5105,unknown,3,
Kepler-325,Cygnus,19h 19m 20.5s,+49° 49′ 32″,,,,0.87,5752,unknown,3,
